S.No,AppTag,LOB,AuthReq,ImmediateTxf,ClarfierQuestion,NextAction,Onboarding Eligible
1,account_login-get_help,SHARED_MM_BW,N,N,NA,WEBSITE_HELP,Y
2,account_login-get_help,BW_PROD_BW,N,N,NA,TECH_SUP,Y
3,account_login-get_help,FOREMOST_AGENT_FOREMOST,N,N,NA,FOREMOST_STAR,Y
4,account_login-get_help,FARM_PL_FAS,N,N,NA,FAS_ADD_DEPT,Y
5,account_login-get_help,SHARED_MM_FARMERSERVICE,N,N,NA,WEBSITE_HELP,Y
6,account_login-get_help,FARMER_SALES_FARMER_TRAINING,N,N,NA,WEBSITE_HELP,Y
7,account_login-get_help,FARMER_VANITY_VANITY,N,N,NA,WEBSITE_HELP,Y
8,account_login-get_help,SHARED_MM_HOMEOWNER,N,N,NA,WEBSITE_HELP,Y
9,account_login-get_help,21V,N,N,NA,WEBSITE_HELP,Y
10,account_login-get_help,21_VANITY_FF_AUTO_SERVICE,N,N,NA,WEBSITE_HELP,Y
11,account_login-get_help,21SV,N,N,NA,WEBSITE_HELP,Y
12,account_login-get_help,21SM,N,N,NA,WEBSITE_HELP,Y
13,account_login-get_help,SHARED_MAIN_MENU_FWS,N,N,NA,WEBSITE_HELP,Y
14,account-change,SHARED_MM_BW,Y,N,NA,TRANSFER,Y
15,account-change,BW_PROD_BW,N,N,NA,BW_POLICY_COLLECTION,Y
16,account-change,FOREMOST_AGENT_FOREMOST,N,N,NA,FMST_AGENT_POLICY_SERVICE,Y
17,account-change,FARM_PL_FAS,N,N,NA,FAS_PL_MAINMENU,Y
18,account-change,SHARED_MM_FARMERSERVICE,Y,N,NA,TRANSFER,Y
19,account-change,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE,Y
20,account-change,FARMER_VANITY_VANITY,Y,N,NA,TRANSFER,Y
21,account-change,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE,Y
22,account-change,21V,Y,N,NA,POLICY_CHANGE,Y
23,account-change,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
24,account-change,21SV,Y,N,NA,POLICY_CHANGE,Y
25,account-change,21SM,Y,N,NA,TRANSFER,Y
26,account-change,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
27,accounting-query,SHARED_MM_BW,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
28,accounting-query,BW_PROD_BW,N,Y,SNLUXXPAXX328XYwav,TRANSFER,Y
29,accounting-query,FOREMOST_AGENT_FOREMOST,N,N,SNLUXXPAXX328XYwav,FARMER_PL_ACCT_TXR,Y
30,accounting-query,FARM_PL_FAS,N,N,SNLUXXPAXX328XYwav,FARMER_PL_ACCT_TXR,Y
31,accounting-query,SHARED_MM_FARMERSERVICE,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
32,accounting-query,FARMER_SALES_FARMER_TRAINING,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
33,accounting-query,FARMER_VANITY_VANITY,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
34,accounting-query,SHARED_MM_HOMEOWNER,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
35,accounting-query,21V,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
36,accounting-query,21_VANITY_FF_AUTO_SERVICE,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
37,accounting-query,21SV,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
38,accounting-query,21SM,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
39,accounting-query,SHARED_MAIN_MENU_FWS,Y,N,SNLUXXPAXX328XYwav,SHARED_MAIN_MENU,Y
40,account-vague,SHARED_MM_BW,Y,N,NA,BILLING_PAYMENT ,Y
41,account-vague,BW_PROD_BW,N,N,NA,POLICY_STATUS,Y
42,account-vague,FOREMOST_AGENT_FOREMOST,N,N,NA,FMST_AGENT_POLICY_SERVICE,Y
43,account-vague,FARM_PL_FAS,N,N,NA,FAS_PL_MAINMENU,Y
44,account-vague,SHARED_MM_FARMERSERVICE,Y,N,NA,BILLING_PAYMENT ,Y
